bot,symbol,side,entry_price,exit_price,size,pnl_usdt,pnl_pct,stop_loss,take_profit,exit_reason,entry_time,exit_time,duration_min
Bot3_Momentum,SOL/USDT,buy,86.6,86.56,33.653846,-1.3462,-0.0462,86.6109,86.8971,sl,2026-05-17 16:28:25,2026-05-17 16:38:26,10.02
Bot1_Trend,SOL/USDT,buy,86.86,86.88,36.082474,0.7216,0.023,86.8975,87.1371,sl,2026-05-17 21:26:15,2026-05-17 21:36:16,10.02
Bot3_Momentum,SOL/USDT,sell,84.31,84.98,7.592191,-5.0868,-0.7947,84.6406,82.9929,sl,2026-05-17 23:42:48,2026-05-17 23:52:49,10.02
Bot1_Trend,SOL/USDT,sell,84.53,84.97,13.307985,-5.8555,-0.5205,84.9057,83.7786,sl,2026-05-18 07:22:43,2026-05-18 07:27:43,5.01
Bot3_Momentum,SOL/USDT,sell,84.49,84.31,21.341463,3.8415,0.213,84.3083,84.0214,sl,2026-05-18 09:58:40,2026-05-18 10:13:41,15.02
Bot1_Trend,SOL/USDT,buy,85.44,85.48,20.348837,0.814,0.0468,85.4811,85.9314,sl,2026-05-18 21:33:18,2026-05-18 21:48:20,15.02
Bot1_Trend,SOL/USDT,sell,84.86,85.1,23.489933,-5.6376,-0.2828,84.9571,84.4343,sl,2026-05-19 04:26:37,2026-05-19 04:36:38,10.02
Bot1_Trend,SOL/USDT,buy,85.5,85.48,19.125683,-0.3825,-0.0234,85.5061,86.0229,sl,2026-05-19 07:38:54,2026-05-19 07:53:55,15.02
Bot1_Trend,SOL/USDT,sell,84.42,84.44,18.918919,-0.3784,-0.0237,84.3882,83.8914,sl,2026-05-19 19:24:05,2026-05-19 19:34:06,10.02
Bot3_Momentum,SOL/USDT,buy,84.76,84.73,22.875817,-0.6863,-0.0354,84.83,85.1971,sl,2026-05-20 05:14:53,2026-05-20 05:49:57,35.06
Bot1_Trend,SOL/USDT,buy,85.08,84.95,27.34375,-3.5547,-0.1528,84.9664,85.4457,sl,2026-05-20 09:32:24,2026-05-20 09:47:26,15.03
Bot3_Momentum,SOL/USDT,buy,85.09,85.03,33.018868,-1.9811,-0.0705,85.1189,85.3929,sl,2026-05-20 10:32:30,2026-05-20 10:42:31,10.02
Bot3_Momentum,SOL/USDT,sell,84.36,84.75,17.5,-6.825,-0.4623,84.4451,83.7886,sl,2026-05-20 13:38:18,2026-05-20 13:48:19,10.02
Bot3_Momentum,SOL/USDT,buy,85.54,85.67,9.210526,1.1974,0.152,85.8271,86.6257,sl,2026-05-20 14:33:25,2026-05-20 15:03:28,30.05
Bot1_Trend,SOL/USDT,buy,86.26,86.1,9.803922,-1.5686,-0.1855,86.3079,87.28,sl,2026-05-20 16:08:33,2026-05-20 16:18:34,10.02
Bot3_Momentum,SOL/USDT,buy,86.69,86.43,9.28382,-2.4138,-0.2999,86.572,87.7671,sl,2026-05-20 16:48:40,2026-05-20 16:58:41,10.02
Bot1_Trend,SOL/USDT,buy,86.74,86.66,20.833333,-1.6667,-0.0922,86.6796,87.22,sl,2026-05-21 02:25:46,2026-05-21 02:50:49,25.04
Bot1_Trend,SOL/USDT,buy,86.81,86.97,28.455285,4.5528,0.1843,86.9746,87.1614,sl,2026-05-21 03:31:27,2026-05-21 04:31:34,60.11
Bot3_Momentum,SOL/USDT,buy,86.7,87.08,30.701754,11.6667,0.4383,87.0397,87.0257,tp,2026-05-21 07:58:37,2026-05-21 08:13:39,15.02
Bot1_Trend,SOL/USDT,buy,86.69,87.77,13.461538,14.5385,1.2458,87.6461,87.4329,tp,2026-05-21 17:13:01,2026-05-21 17:28:02,15.03
Bot3_Momentum,SOL/USDT,buy,87.76,87.39,10.086455,-3.732,-0.4216,87.6383,88.7514,sl,2026-05-21 17:28:37,2026-05-21 17:48:39,20.03
Bot3_Momentum,SOL/USDT,buy,87.36,87.29,19.337017,-1.3536,-0.0801,87.418,87.8771,sl,2026-05-22 08:19:20,2026-05-22 08:34:21,15.02
Bot3_Momentum,SOL/USDT,sell,85.91,85.06,14.583333,12.3958,0.9894,85.1603,85.2243,tp,2026-05-22 18:37:46,2026-05-22 18:47:47,10.02
Bot3_Momentum,SOL/USDT,sell,85.14,85.45,9.97151,-3.0912,-0.3641,85.414,84.1371,sl,2026-05-22 18:48:20,2026-05-22 18:58:21,10.02
Bot1_Trend,SOL/USDT,sell,84.98,84.96,29.411765,0.5882,0.0235,84.9571,84.64,sl,2026-05-22 22:29:40,2026-05-22 22:39:41,10.02
